place_id,place_name,province,place_type,latitude,longitude,coordinate_system
seoul,서울,서울특별시,metropolitan,37.5665,126.9780,EPSG:4326
busan,부산,부산광역시,metropolitan,35.1796,129.0756,EPSG:4326
daegu,대구,대구광역시,metropolitan,35.8714,128.6014,EPSG:4326
incheon,인천,인천광역시,metropolitan,37.4563,126.7052,EPSG:4326
gwangju_metropolitan,광주,광주광역시,metropolitan,35.1595,126.8526,EPSG:4326
daejeon,대전,대전광역시,metropolitan,36.3504,127.3845,EPSG:4326
ulsan,울산,울산광역시,metropolitan,35.5384,129.3114,EPSG:4326
sejong,세종,세종특별자치시,special_self_governing_city,36.4800,127.2890,EPSG:4326
suwon,수원,경기도,city,37.2636,127.0286,EPSG:4326
seongnam,성남,경기도,city,37.4202,127.1265,EPSG:4326
goyang,고양,경기도,city,37.6584,126.8320,EPSG:4326
yongin,용인,경기도,city,37.2411,127.1776,EPSG:4326
bucheon,부천,경기도,city,37.5034,126.7660,EPSG:4326
ansan,안산,경기도,city,37.3219,126.8309,EPSG:4326
anyang,안양,경기도,city,37.3943,126.9568,EPSG:4326
hwaseong,화성,경기도,city,37.1995,126.8312,EPSG:4326
namyangju,남양주,경기도,city,37.6360,127.2165,EPSG:4326
pyeongtaek,평택,경기도,city,36.9921,127.1129,EPSG:4326
uijeongbu,의정부,경기도,city,37.7381,127.0337,EPSG:4326
siheung,시흥,경기도,city,37.3802,126.8029,EPSG:4326
paju,파주,경기도,city,37.7599,126.7802,EPSG:4326
gimpo,김포,경기도,city,37.6153,126.7156,EPSG:4326
gwangju_gyeonggi,경기 광주,경기도,city,37.4294,127.2550,EPSG:4326
gwangmyeong,광명,경기도,city,37.4786,126.8644,EPSG:4326
gunpo,군포,경기도,city,37.3616,126.9352,EPSG:4326
hanam,하남,경기도,city,37.5393,127.2147,EPSG:4326
osan,오산,경기도,city,37.1498,127.0772,EPSG:4326
icheon,이천,경기도,city,37.2723,127.4350,EPSG:4326
anseong,안성,경기도,city,37.0079,127.2798,EPSG:4326
uiwang,의왕,경기도,city,37.3449,126.9683,EPSG:4326
guri,구리,경기도,city,37.5943,127.1296,EPSG:4326
yangju,양주,경기도,city,37.7853,127.0457,EPSG:4326
dongducheon,동두천,경기도,city,37.9037,127.0602,EPSG:4326
pocheon,포천,경기도,city,37.8949,127.2003,EPSG:4326
yeoju,여주,경기도,city,37.2980,127.6372,EPSG:4326
gapyeong,가평,경기도,county,37.8314,127.5098,EPSG:4326
yangpyeong,양평,경기도,county,37.4912,127.4875,EPSG:4326
yeoncheon,연천,경기도,county,38.0964,127.0750,EPSG:4326
chuncheon,춘천,강원특별자치도,city,37.8813,127.7298,EPSG:4326
wonju,원주,강원특별자치도,city,37.3422,127.9202,EPSG:4326
gangneung,강릉,강원특별자치도,city,37.7519,128.8761,EPSG:4326
donghae,동해,강원특별자치도,city,37.5247,129.1143,EPSG:4326
taebaek,태백,강원특별자치도,city,37.1641,128.9856,EPSG:4326
sokcho,속초,강원특별자치도,city,38.2070,128.5918,EPSG:4326
samcheok,삼척,강원특별자치도,city,37.4499,129.1652,EPSG:4326
hongcheon,홍천,강원특별자치도,county,37.6972,127.8885,EPSG:4326
hoengseong,횡성,강원특별자치도,county,37.4918,127.9850,EPSG:4326
yeongwol,영월,강원특별자치도,county,37.1838,128.4618,EPSG:4326
pyeongchang,평창,강원특별자치도,county,37.3705,128.3894,EPSG:4326
jeongseon,정선,강원특별자치도,county,37.3806,128.6609,EPSG:4326
cheorwon,철원,강원특별자치도,county,38.1468,127.3133,EPSG:4326
hwacheon,화천,강원특별자치도,county,38.1062,127.7080,EPSG:4326
yanggu,양구,강원특별자치도,county,38.1099,127.9901,EPSG:4326
inje,인제,강원특별자치도,county,38.0697,128.1704,EPSG:4326
goseong_gangwon,강원 고성,강원특별자치도,county,38.3806,128.4677,EPSG:4326
yangyang,양양,강원특별자치도,county,38.0754,128.6191,EPSG:4326
cheongju,청주,충청북도,city,36.6424,127.4890,EPSG:4326
chungju,충주,충청북도,city,36.9910,127.9259,EPSG:4326
jecheon,제천,충청북도,city,37.1326,128.1910,EPSG:4326
boeun,보은,충청북도,county,36.4890,127.7292,EPSG:4326
okcheon,옥천,충청북도,county,36.3064,127.5713,EPSG:4326
yeongdong,영동,충청북도,county,36.1750,127.7834,EPSG:4326
jeungpyeong,증평,충청북도,county,36.7853,127.5815,EPSG:4326
jincheon,진천,충청북도,county,36.8554,127.4356,EPSG:4326
goesan,괴산,충청북도,county,36.8154,127.7867,EPSG:4326
eumseong,음성,충청북도,county,36.9400,127.6906,EPSG:4326
danyang,단양,충청북도,county,36.9848,128.3659,EPSG:4326
cheonan,천안,충청남도,city,36.8151,127.1139,EPSG:4326
gongju,공주,충청남도,city,36.4465,127.1190,EPSG:4326
boryeong,보령,충청남도,city,36.3335,126.6129,EPSG:4326
asan,아산,충청남도,city,36.7898,127.0027,EPSG:4326
seosan,서산,충청남도,city,36.7849,126.4503,EPSG:4326
nonsan,논산,충청남도,city,36.1871,127.0987,EPSG:4326
gyeryong,계룡,충청남도,city,36.2746,127.2486,EPSG:4326
