line_id,from_node_id,to_node_id,voltage_kv,capacity_mw,reactance_pu,distance_km,resistance_pu,loss_factor,terrain_risk,is_bidirectional,status,source
GLINE_PLANT_INCHEON_TOWER_SEOUL,PLANT_INCHEON,TOWER_SEOUL,345,1500,0.052,27.0,0.006,0.006,0.14,true,active,csv
GLINE_TOWER_SEOUL_TOWER_SUWON,TOWER_SEOUL,TOWER_SUWON,345,1500,0.060,31.0,0.006,0.006,0.18,true,active,csv
GLINE_TOWER_SUWON_TOWER_PYEONGTAEK,TOWER_SUWON,TOWER_PYEONGTAEK,345,2800,0.058,31.2,0.006,0.006,0.16,true,active,csv
GLINE_TOWER_PYEONGTAEK_TOWER_DAEJEON,TOWER_PYEONGTAEK,TOWER_DAEJEON,345,2600,0.074,75.0,0.009,0.011,0.20,true,active,csv
GLINE_TOWER_DAEJEON_TOWER_CHEONGJU,TOWER_DAEJEON,TOWER_CHEONGJU,345,2600,0.055,38.0,0.006,0.007,0.18,true,active,csv
GLINE_TOWER_CHEONGJU_TOWER_SANGJU,TOWER_CHEONGJU,TOWER_SANGJU,345,2200,0.066,70.0,0.009,0.010,0.22,true,active,csv
GLINE_TOWER_SANGJU_TOWER_GUMI,TOWER_SANGJU,TOWER_GUMI,345,2200,0.060,47.0,0.007,0.008,0.20,true,active,csv
GLINE_TOWER_GUMI_TOWER_DAEGU,TOWER_GUMI,TOWER_DAEGU,345,2600,0.050,37.0,0.006,0.007,0.15,true,active,csv
GLINE_TOWER_DAEGU_TOWER_YEONGCHEON,TOWER_DAEGU,TOWER_YEONGCHEON,345,2200,0.046,28.0,0.005,0.006,0.18,true,active,csv
GLINE_TOWER_YEONGCHEON_TOWER_WOLSEONG,TOWER_YEONGCHEON,TOWER_WOLSEONG,345,2200,0.056,58.0,0.008,0.009,0.20,true,active,csv
GLINE_TOWER_DAEGU_TOWER_CHANGWON,TOWER_DAEGU,TOWER_CHANGWON,345,2400,0.071,79.0,0.010,0.012,0.22,true,active,csv
GLINE_TOWER_CHANGWON_TOWER_HADONG,TOWER_CHANGWON,TOWER_HADONG,345,2000,0.064,70.0,0.009,0.010,0.24,true,active,csv
GLINE_TOWER_HADONG_TOWER_GEOCHANG,TOWER_HADONG,TOWER_GEOCHANG,345,1800,0.060,58.0,0.008,0.009,0.28,true,active,csv
GLINE_TOWER_GEOCHANG_TOWER_JEONJU,TOWER_GEOCHANG,TOWER_JEONJU,345,1800,0.068,92.0,0.011,0.013,0.30,true,active,csv
GLINE_TOWER_JEONJU_TOWER_NAJU,TOWER_JEONJU,TOWER_NAJU,345,1800,0.066,84.0,0.010,0.012,0.24,true,active,csv
GLINE_TOWER_NAJU_TOWER_HAENAM,TOWER_NAJU,TOWER_HAENAM,345,1600,0.060,61.0,0.008,0.010,0.25,true,active,csv
GLINE_TOWER_HAENAM_TOWER_JEJU,TOWER_HAENAM,TOWER_JEJU,154,700,0.120,185.0,0.020,0.030,0.45,true,candidate,csv
GLINE_TOWER_DAEJEON_TOWER_JEONJU,TOWER_DAEJEON,TOWER_JEONJU,345,2200,0.070,84.0,0.010,0.012,0.20,true,active,csv
GLINE_TOWER_CHEONGJU_TOWER_WONJU,TOWER_CHEONGJU,TOWER_WONJU,345,1900,0.076,91.0,0.011,0.013,0.25,true,active,csv
GLINE_TOWER_WONJU_TOWER_CHUNCHEON,TOWER_WONJU,TOWER_CHUNCHEON,345,1800,0.064,62.0,0.009,0.010,0.26,true,active,csv
GLINE_TOWER_CHUNCHEON_TOWER_SEOUL,TOWER_CHUNCHEON,TOWER_SEOUL,345,1300,0.068,75.0,0.010,0.011,0.22,true,active,csv
GLINE_TOWER_CHUNCHEON_TOWER_GANGNEUNG,TOWER_CHUNCHEON,TOWER_GANGNEUNG,345,1800,0.082,98.0,0.012,0.015,0.33,true,active,csv
GLINE_TOWER_GANGNEUNG_TOWER_SAMCHEOK,TOWER_GANGNEUNG,TOWER_SAMCHEOK,345,1700,0.070,64.0,0.009,0.011,0.34,true,active,csv
GLINE_TOWER_SAMCHEOK_TOWER_WOLSEONG,TOWER_SAMCHEOK,TOWER_WOLSEONG,345,1700,0.096,170.0,0.015,0.021,0.34,true,planned,csv
GLINE_TOWER_DAEGU_TOWER_WOLSEONG,TOWER_DAEGU,TOWER_WOLSEONG,345,2200,0.058,78.0,0.009,0.011,0.18,true,active,csv
GLINE_PLANT_TAEAN_TOWER_TAEAN,PLANT_TAEAN,TOWER_TAEAN,345,3000,0.040,12.0,0.004,0.004,0.20,true,active,csv
GLINE_PLANT_DANGJIN_TOWER_DANGJIN,PLANT_DANGJIN,TOWER_DANGJIN,345,3600,0.040,18.0,0.004,0.004,0.18,true,active,csv
GLINE_TOWER_TAEAN_TOWER_DANGJIN,TOWER_TAEAN,TOWER_DANGJIN,345,2400,0.056,38.0,0.006,0.007,0.20,true,active,csv
GLINE_TOWER_DANGJIN_TOWER_PYEONGTAEK,TOWER_DANGJIN,TOWER_PYEONGTAEK,345,2600,0.060,62.0,0.008,0.009,0.18,true,active,csv
GLINE_PLANT_GWANGJU_TOWER_NAJU,PLANT_GWANGJU,TOWER_NAJU,345,1800,0.046,31.0,0.005,0.006,0.18,true,active,csv
GLINE_PLANT_YEONGGWANG_TOWER_YEONGGWANG,PLANT_YEONGGWANG,TOWER_YEONGGWANG,345,3200,0.042,14.0,0.004,0.004,0.20,true,active,csv
GLINE_TOWER_YEONGGWANG_TOWER_NAJU,TOWER_YEONGGWANG,TOWER_NAJU,345,2000,0.058,53.0,0.007,0.009,0.22,true,active,csv
GLINE_PLANT_SOKCHO_TOWER_GANGNEUNG,PLANT_SOKCHO,TOWER_GANGNEUNG,345,1200,0.050,55.0,0.007,0.008,0.30,true,active,csv
GLINE_PLANT_SAMCHEOK_TOWER_SAMCHEOK,PLANT_SAMCHEOK,TOWER_SAMCHEOK,345,2200,0.042,15.0,0.004,0.004,0.28,true,active,csv
GLINE_PLANT_BUSAN_TOWER_CHANGWON,PLANT_BUSAN,TOWER_CHANGWON,345,2400,0.045,38.0,0.006,0.007,0.17,true,active,csv
GLINE_PLANT_ULSAN_TOWER_WOLSEONG,PLANT_ULSAN,TOWER_WOLSEONG,345,2600,0.044,45.0,0.006,0.007,0.18,true,active,csv
GLINE_PLANT_WOLSEONG_TOWER_WOLSEONG,PLANT_WOLSEONG,TOWER_WOLSEONG,345,3200,0.040,10.0,0.004,0.004,0.18,true,active,csv
GLINE_PLANT_POHANG_TOWER_YEONGCHEON,PLANT_POHANG,TOWER_YEONGCHEON,345,1800,0.052,47.0,0.006,0.008,0.22,true,active,csv
GLINE_PLANT_HADONG_TOWER_HADONG,PLANT_HADONG,TOWER_HADONG,345,2600,0.040,11.0,0.004,0.004,0.24,true,active,csv
GLINE_TOWER_DAEJEON_TOWER_GEOCHANG,TOWER_DAEJEON,TOWER_GEOCHANG,345,1800,0.075,120.0,0.012,0.017,0.30,true,planned,csv
GLINE_TOWER_SEOUL_TOWER_DAEJEON,TOWER_SEOUL,TOWER_DAEJEON,345,1500,0.079,140.0,0.012,0.016,0.18,true,active,csv
GLINE_TOWER_SUWON_TOWER_CHEONGJU,TOWER_SUWON,TOWER_CHEONGJU,345,2200,0.070,83.0,0.010,0.012,0.19,true,active,csv
GLINE_TOWER_GUMI_TOWER_GEOCHANG,TOWER_GUMI,TOWER_GEOCHANG,345,1800,0.064,72.0,0.009,0.011,0.27,true,active,csv
GLINE_TOWER_HAENAM_TOWER_YEONGGWANG,TOWER_HAENAM,TOWER_YEONGGWANG,345,1600,0.072,82.0,0.010,0.012,0.28,true,active,csv
