node_id,node_name,node_type,latitude,longitude,voltage_kv,region,base_load_mw,elevation_m,coordinate_system,elevation_source,source,source_id
PLANT_INCHEON,인천 발전소,power_plant,37.4563,126.7052,345,수도권,0,,EPSG:4326,not_queried,csv,incheon
PLANT_GWANGJU,광주 발전소,power_plant,35.1595,126.8526,345,호남권,0,,EPSG:4326,not_queried,csv,gwangju
PLANT_SOKCHO,속초 발전소,power_plant,38.2070,128.5918,345,강원권,0,,EPSG:4326,not_queried,csv,sokcho
PLANT_BUSAN,부산 발전소,power_plant,35.1796,129.0756,345,동남권,0,,EPSG:4326,not_queried,csv,busan
PLANT_ULSAN,울산 발전소,power_plant,35.5384,129.3114,345,동남권,0,,EPSG:4326,not_queried,csv,ulsan
PLANT_POHANG,포항 발전소,power_plant,36.0190,129.3435,345,영남권,0,,EPSG:4326,not_queried,csv,pohang
PLANT_TAEAN,태안 발전소,power_plant,36.7456,126.2980,345,충청권,0,,EPSG:4326,not_queried,csv,taean
PLANT_DANGJIN,당진 발전소,power_plant,36.9740,126.7220,345,충청권,0,,EPSG:4326,not_queried,csv,dangjin
PLANT_SAMCHEOK,삼척 발전소,power_plant,37.4470,129.1650,345,강원권,0,,EPSG:4326,not_queried,csv,samcheok
PLANT_HADONG,하동 발전소,power_plant,35.0670,127.7510,345,경남권,0,,EPSG:4326,not_queried,csv,hadong
PLANT_YEONGGWANG,영광 발전소,power_plant,35.2770,126.5120,345,호남권,0,,EPSG:4326,not_queried,csv,yeonggwang
PLANT_WOLSEONG,월성 발전소,power_plant,35.7110,129.4750,345,경북권,0,,EPSG:4326,not_queried,csv,wolseong
TOWER_GEOCHANG,거창 송전탑,transmission_tower,35.6867,127.9095,345,경남권,480,,EPSG:4326,not_queried,csv,geochang
TOWER_SEOUL,서울 송전탑,transmission_tower,37.5665,126.9780,345,수도권,1700,,EPSG:4326,not_queried,csv,seoul
TOWER_GANGNEUNG,강릉 송전탑,transmission_tower,37.7519,128.8761,345,강원권,520,,EPSG:4326,not_queried,csv,gangneung
TOWER_DAEJEON,대전 송전탑,transmission_tower,36.3504,127.3845,345,충청권,850,,EPSG:4326,not_queried,csv,daejeon
TOWER_CHUNCHEON,춘천 송전탑,transmission_tower,37.8813,127.7298,345,강원권,430,,EPSG:4326,not_queried,csv,chuncheon
TOWER_JEJU,제주도 송전탑,transmission_tower,33.4996,126.5312,154,제주권,380,,EPSG:4326,not_queried,csv,jeju
TOWER_GUMI,구미 송전탑,transmission_tower,36.1195,128.3446,345,경북권,620,,EPSG:4326,not_queried,csv,gumi
TOWER_DAEGU,대구 송전탑,transmission_tower,35.8714,128.6014,345,영남권,1050,,EPSG:4326,not_queried,csv,daegu
TOWER_CHANGWON,창원 송전탑,transmission_tower,35.2279,128.6811,345,경남권,780,,EPSG:4326,not_queried,csv,changwon
TOWER_YEONGCHEON,영천 송전탑,transmission_tower,35.9733,128.9388,345,경북권,410,,EPSG:4326,not_queried,csv,yeongcheon
TOWER_SANGJU,상주 송전탑,transmission_tower,36.4109,128.1591,345,경북권,360,,EPSG:4326,not_queried,csv,sangju
TOWER_HAENAM,해남 송전탑,transmission_tower,34.5733,126.5993,345,호남권,340,,EPSG:4326,not_queried,csv,haenam
TOWER_SUWON,수원 송전탑,transmission_tower,37.2636,127.0286,345,수도권,1250,,EPSG:4326,not_queried,csv,suwon
TOWER_PYEONGTAEK,평택 송전탑,transmission_tower,36.9920,127.1120,345,수도권,720,,EPSG:4326,not_queried,csv,pyeongtaek
TOWER_CHEONGJU,청주 송전탑,transmission_tower,36.6424,127.4890,345,충청권,620,,EPSG:4326,not_queried,csv,cheongju
TOWER_WONJU,원주 송전탑,transmission_tower,37.3422,127.9202,345,강원권,460,,EPSG:4326,not_queried,csv,wonju
TOWER_JEONJU,전주 송전탑,transmission_tower,35.8242,127.1480,345,호남권,520,,EPSG:4326,not_queried,csv,jeonju
TOWER_NAJU,나주 송전탑,transmission_tower,35.0161,126.7108,345,호남권,480,,EPSG:4326,not_queried,csv,naju
TOWER_TAEAN,태안 송전탑,transmission_tower,36.7456,126.2980,345,충청권,260,,EPSG:4326,not_queried,csv,taean
TOWER_DANGJIN,당진 송전탑,transmission_tower,36.8930,126.6280,345,충청권,520,,EPSG:4326,not_queried,csv,dangjin
TOWER_SAMCHEOK,삼척 송전탑,transmission_tower,37.4490,129.1650,345,강원권,320,,EPSG:4326,not_queried,csv,samcheok
TOWER_HADONG,하동 송전탑,transmission_tower,35.0670,127.7510,345,경남권,300,,EPSG:4326,not_queried,csv,hadong
TOWER_YEONGGWANG,영광 송전탑,transmission_tower,35.2770,126.5120,345,호남권,310,,EPSG:4326,not_queried,csv,yeonggwang
TOWER_WOLSEONG,월성 송전탑,transmission_tower,35.7110,129.4750,345,경북권,360,,EPSG:4326,not_queried,csv,wolseong
