line_id,from_node_id,to_node_id,voltage_kv,capacity_mw,reactance_pu,distance_km,resistance_pu,loss_factor,terrain_risk,is_bidirectional,status,source
GLINE_PLANT_INCHEON_TOWER_SEOUL,PLANT_INCHEON,TOWER_SEOUL,345,2200,0.060,27.0,0.010,0.015,0.10,true,active,default_asset
GLINE_TOWER_SEOUL_TOWER_CHUNCHEON,TOWER_SEOUL,TOWER_CHUNCHEON,345,1800,0.085,75.0,0.012,0.018,0.20,true,active,default_asset
GLINE_TOWER_CHUNCHEON_TOWER_GANGNEUNG,TOWER_CHUNCHEON,TOWER_GANGNEUNG,345,1600,0.090,98.0,0.014,0.020,0.35,true,active,default_asset
GLINE_PLANT_SOKCHO_TOWER_GANGNEUNG,PLANT_SOKCHO,TOWER_GANGNEUNG,345,900,0.045,55.0,0.010,0.014,0.30,true,active,default_asset
GLINE_TOWER_SEOUL_TOWER_DAEJEON,TOWER_SEOUL,TOWER_DAEJEON,345,2400,0.075,140.0,0.012,0.016,0.18,true,active,default_asset
GLINE_TOWER_DAEJEON_TOWER_SANGJU,TOWER_DAEJEON,TOWER_SANGJU,345,2000,0.070,78.0,0.011,0.015,0.22,true,active,default_asset
GLINE_TOWER_SANGJU_TOWER_GUMI,TOWER_SANGJU,TOWER_GUMI,345,1800,0.060,47.0,0.010,0.014,0.20,true,active,default_asset
GLINE_TOWER_GUMI_TOWER_DAEGU,TOWER_GUMI,TOWER_DAEGU,345,2200,0.050,37.0,0.010,0.013,0.15,true,active,default_asset
GLINE_TOWER_DAEGU_TOWER_YEONGCHEON,TOWER_DAEGU,TOWER_YEONGCHEON,345,2000,0.045,28.0,0.009,0.012,0.18,true,active,default_asset
GLINE_TOWER_YEONGCHEON_PLANT_POHANG,TOWER_YEONGCHEON,PLANT_POHANG,345,1800,0.052,47.0,0.010,0.014,0.22,true,active,default_asset
GLINE_TOWER_YEONGCHEON_PLANT_ULSAN,TOWER_YEONGCHEON,PLANT_ULSAN,345,2600,0.055,58.0,0.010,0.014,0.20,true,active,default_asset
GLINE_PLANT_ULSAN_PLANT_BUSAN,PLANT_ULSAN,PLANT_BUSAN,345,2600,0.040,45.0,0.008,0.012,0.18,true,active,default_asset
GLINE_PLANT_BUSAN_TOWER_CHANGWON,PLANT_BUSAN,TOWER_CHANGWON,345,2200,0.045,38.0,0.009,0.013,0.17,true,active,default_asset
GLINE_TOWER_CHANGWON_TOWER_GEOCHANG,TOWER_CHANGWON,TOWER_GEOCHANG,345,1600,0.065,72.0,0.011,0.016,0.28,true,active,default_asset
GLINE_TOWER_GEOCHANG_TOWER_DAEJEON,TOWER_GEOCHANG,TOWER_DAEJEON,345,1800,0.070,120.0,0.012,0.017,0.30,true,active,default_asset
GLINE_TOWER_GEOCHANG_TOWER_HAENAM,TOWER_GEOCHANG,TOWER_HAENAM,345,1500,0.085,180.0,0.014,0.020,0.32,true,active,default_asset
GLINE_TOWER_HAENAM_PLANT_GWANGJU,TOWER_HAENAM,PLANT_GWANGJU,345,1600,0.060,72.0,0.011,0.015,0.25,true,active,default_asset
GLINE_TOWER_DAEJEON_TOWER_HAENAM,TOWER_DAEJEON,TOWER_HAENAM,345,1600,0.090,210.0,0.015,0.022,0.30,true,planned,default_asset
GLINE_TOWER_JEJU_TOWER_HAENAM,TOWER_JEJU,TOWER_HAENAM,154,600,0.120,185.0,0.020,0.030,0.45,true,candidate,default_asset
